_id,time,latitude,longitude,accuracy
ObjectId("5d2559788e1804c8891f7acf"),1562728822270,14.635835,121.0734383,11.199999809265137
ObjectId("5d2559788e1804c8891f7ad1"),1562728823902,14.6491086,121.0686179,818
ObjectId("5d2559798e1804c8891f7ad3"),1562728823308,14.635835,121.0734383,11.199999809265137
ObjectId("5d2559798e1804c8891f7ad5"),1562728824910,14.6491086,121.0686179,818
ObjectId("5d25597a8e1804c8891f7ad7"),1562728824299,14.635835,121.0734383,11.199999809265137
ObjectId("5d25597a8e1804c8891f7ad9"),1562728825898,14.6491086,121.0686179,818
ObjectId("5d25597b8e1804c8891f7adb"),1562728825455,14.635835,121.0734383,11.199999809265137
ObjectId("5d25597b8e1804c8891f7add"),1562728826915,14.6491086,121.0686179,818
ObjectId("5d25597c8e1804c8891f7adf"),1562728826273,14.635835,121.0734383,11.199999809265137
ObjectId("5d25597c8e1804c8891f7ae1"),1562728827914,14.6491086,121.0686179,818
ObjectId("5d25597d8e1804c8891f7ae3"),1562728827312,14.635835,121.0734383,11.199999809265137
ObjectId("5d25597d8e1804c8891f7ae5"),1562728828909,14.6485719,121.0675969,818
ObjectId("5d25597e8e1804c8891f7ae7"),1562728828333,14.635835,121.0734383,11.199999809265137
ObjectId("5d25597e8e1804c8891f7ae9"),1562728829914,14.6491086,121.0686179,818
ObjectId("5d25597f8e1804c8891f7aeb"),1562728829297,14.635835,121.0734383,11.199999809265137
ObjectId("5d25597f8e1804c8891f7aed"),1562728830930,14.6491086,121.0686179,818
ObjectId("5d2559808e1804c8891f7aef"),1562728830292,14.635835,121.0734383,11.199999809265137
