_id,uuid,time,latitude,longitude,altitude,client ip
ObjectId("5d22ea0e4c62602e3b146d94"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569230577,14.6471534,121.0626457,111.5,175.176.17.146
ObjectId("5d22ea0f4c62602e3b146d96"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569231591,14.6473684,121.0626721,111.5,175.176.17.146
ObjectId("5d22ea104c62602e3b146d98"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569232590,14.6474201,121.0627444,113.79999542236328,175.176.17.146
ObjectId("5d22ea114c62602e3b146d9a"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569233599,14.6474558,121.0626828,112.19999694824219,175.176.17.146
ObjectId("5d22ea124c62602e3b146d9c"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569234598,14.6474558,121.0626828,112.19999694824219,175.176.17.146
ObjectId("5d22ea134c62602e3b146d9e"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569235606,14.6475298,121.0628162,111.5,175.176.17.146
ObjectId("5d22ea144c62602e3b146da0"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569236612,14.6475193,121.0629257,111.5,175.176.17.146
ObjectId("5d22ea154c62602e3b146da2"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569237611,14.6475198,121.0628779,112.9000015258789,175.176.17.146
ObjectId("5d22ea164c62602e3b146da4"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569238630,14.6474496,121.0629306,111.5,175.176.17.146
ObjectId("5d22ea174c62602e3b146da6"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569239634,14.6474686,121.0630016,111.5,175.176.17.146
ObjectId("5d22ea184c62602e3b146da8"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569240637,14.6475087,121.0630995,111.5,175.176.17.146
ObjectId("5d22ea194c62602e3b146daa"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569241635,14.6474894,121.0631052,,175.176.17.146
ObjectId("5d22ea1a4c62602e3b146dac"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569242649,14.6475496,121.0630323,112.9000015258789,175.176.17.146
ObjectId("5d22ea1b4c62602e3b146dae"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569243651,14.6475518,121.06321,109.9000015258789,175.176.17.146
ObjectId("5d22ea1c4c62602e3b146db0"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569244648,14.6475948,121.0634678,109.9000015258789,175.176.17.146
ObjectId("5d22ea1d4c62602e3b146db2"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569245653,14.6475593,121.0634934,109.9000015258789,175.176.17.146
ObjectId("5d22ea1e4c62602e3b146db4"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569246676,14.6475918,121.0635366,109.9000015258789,175.176.17.146
ObjectId("5d22ea1f4c62602e3b146db6"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569247680,14.6476215,121.0635803,109.9000015258789,175.176.17.146
ObjectId("5d22ea214c62602e3b146db8"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569248690,14.6476015,121.06351,,175.176.17.146
ObjectId("5d22ea224c62602e3b146dba"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569249707,14.6476152,121.0635581,109.9000015258789,175.176.17.146
ObjectId("5d22ea234c62602e3b146dbc"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569250696,14.647633,121.0636132,109.9000015258789,175.176.17.146
ObjectId("5d22ea244c62602e3b146dbe"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569251713,14.6476543,121.0635848,109.9000015258789,175.176.17.146
ObjectId("5d22ea254c62602e3b146dc0"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569252715,14.6476456,121.0636012,109.9000015258789,175.176.17.146
ObjectId("5d22ea264c62602e3b146dc2"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569253726,14.647639,121.0636139,109.9000015258789,175.176.17.146
ObjectId("5d22ea274c62602e3b146dc4"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569254732,14.6476362,121.0635635,,175.176.17.146
ObjectId("5d22ea284c62602e3b146dc6"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569255726,14.6475694,121.0636348,109.9000015258789,175.176.17.146
ObjectId("5d22ea294c62602e3b146dc8"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569256728,14.6475852,121.0636314,109.9000015258789,175.176.17.146
ObjectId("5d22ea2a4c62602e3b146dca"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569257740,14.6476034,121.0636275,109.9000015258789,175.176.17.146
ObjectId("5d22ea2b4c62602e3b146dcc"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569258748,14.6476034,121.0636275,109.9000015258789,175.176.17.146
ObjectId("5d22ea2c4c62602e3b146dce"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569259760,14.6475824,121.0638234,,175.176.17.146
ObjectId("5d22ea2d4c62602e3b146dd0"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569260756,14.6475466,121.0640039,110.5,175.176.17.146
ObjectId("5d22ea2e4c62602e3b146dd2"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569261763,14.6475431,121.064076,110.19999694824219,175.176.17.146
ObjectId("5d22ea2f4c62602e3b146dd4"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569262756,14.6475749,121.064206,110.5,175.176.17.146
ObjectId("5d22ea304c62602e3b146dd6"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569263766,14.6475759,121.0642262,110.5,175.176.17.146
ObjectId("5d22ea314c62602e3b146dd8"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569264774,14.647515,121.0641938,110.5,175.176.17.146
ObjectId("5d22ea324c62602e3b146dda"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569265794,14.6475128,121.0641793,,175.176.17.146
ObjectId("5d22ea334c62602e3b146ddc"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569266797,14.6474388,121.0643606,110.5,175.176.17.146
ObjectId("5d22ea344c62602e3b146dde"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569267798,14.6474758,121.0643087,110.5,175.176.17.146
ObjectId("5d22ea364c62602e3b146de0"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569268798,14.6474968,121.0642793,110.5,175.176.17.146
ObjectId("5d22ea364c62602e3b146de2"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569269804,14.6475346,121.0640997,,175.176.17.146
ObjectId("5d22ea374c62602e3b146de4"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569270802,14.647537,121.0641527,110.5,175.176.17.146
ObjectId("5d22ea384c62602e3b146de6"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569271815,14.6475385,121.0641847,110.5,175.176.17.146
ObjectId("5d22ea394c62602e3b146de8"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569272818,14.6475389,121.064195,,175.176.17.146
ObjectId("5d22ea3a4c62602e3b146dea"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569273846,14.6475394,121.0642051,110.5,175.176.17.146
ObjectId("5d22ea3b4c62602e3b146dec"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569274836,14.6475396,121.0642099,110.5,175.176.17.146
ObjectId("5d22ea3c4c62602e3b146dee"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569275844,14.6475398,121.0642142,110.5,175.176.17.146
ObjectId("5d22ea3d4c62602e3b146df0"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569276848,14.6475399,121.0642159,110.5,175.176.17.146
ObjectId("5d22ea3e4c62602e3b146df2"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569277859,14.6475175,121.0641538,,175.176.17.146
ObjectId("5d22ea3f4c62602e3b146df4"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569278869,14.6475271,121.0641816,,175.176.17.146
ObjectId("5d22ea404c62602e3b146df6"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569279886,14.6476015,121.0639388,110.5,175.176.17.146
ObjectId("5d22ea414c62602e3b146df8"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569280939,14.6475468,121.063909,,175.176.17.146
ObjectId("5d22ea424c62602e3b146dfa"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569281943,14.6475274,121.063934,,175.176.17.146
ObjectId("5d22ea434c62602e3b146dfc"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569282944,14.6474393,121.0638731,,175.176.17.146
ObjectId("5d22ea444c62602e3b146dfe"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569283949,14.6474949,121.0638017,,175.176.17.146
ObjectId("5d22ea454c62602e3b146e00"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569284959,14.6475314,121.0637546,,175.176.17.146
ObjectId("5d22ea464c62602e3b146e02"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569285966,14.6475583,121.0637199,,175.176.17.146
ObjectId("5d22ea474c62602e3b146e04"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569286974,14.6475095,121.0638754,,175.176.17.146
ObjectId("5d22ea484c62602e3b146e06"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569287978,14.6475239,121.0640371,110.5,175.176.17.146
ObjectId("5d22ea494c62602e3b146e08"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569288983,14.6474081,121.0639283,110.4000015258789,175.176.17.146
ObjectId("5d22ea4a4c62602e3b146e0a"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569289992,14.6475237,121.0644116,,175.176.17.146
ObjectId("5d22ea4b4c62602e3b146e0c"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569290992,14.6475003,121.0644469,,175.176.17.146
ObjectId("5d22ea4c4c62602e3b146e0e"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569292008,14.64751,121.0643915,,175.176.17.146
ObjectId("5d22ea4d4c62602e3b146e10"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569293018,14.6475172,121.0643502,,175.176.17.146
ObjectId("5d22ea4e4c62602e3b146e12"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569294017,14.6474174,121.0641009,110.5,175.176.17.146
ObjectId("5d22ea4f4c62602e3b146e14"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569295026,14.6473723,121.0639881,110.5,175.176.17.146
ObjectId("5d22ea504c62602e3b146e16"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569296045,14.64737,121.0642918,110.19999694824219,175.176.17.146
ObjectId("5d22ea514c62602e3b146e18"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569297045,14.647369,121.0644365,110.19999694824219,175.176.17.146
ObjectId("5d22ea524c62602e3b146e1a"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569298055,14.6473684,121.0645089,110.19999694824219,175.176.17.146
ObjectId("5d22ea534c62602e3b146e1c"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569299054,14.6473681,121.0645524,110.19999694824219,175.176.17.146
ObjectId("5d22ea544c62602e3b146e1e"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569300066,14.6421123,121.0715885,99.19999694824219,175.176.17.146
ObjectId("5d22ea554c62602e3b146e20"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569301078,14.6415463,121.0723462,99.19999694824219,175.176.17.146
ObjectId("5d22ea564c62602e3b146e22"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569302091,14.6410727,121.0729803,99.19999694824219,175.176.17.146
ObjectId("5d22ea574c62602e3b146e24"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569303087,14.6409426,121.0731543,99.19999694824219,175.176.17.146
ObjectId("5d22ea584c62602e3b146e26"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569304130,14.6408794,121.073239,99.19999694824219,175.176.17.146
ObjectId("5d22ea594c62602e3b146e28"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569305141,14.6407971,121.0733492,99.19999694824219,175.176.17.146
ObjectId("5d22ea5a4c62602e3b146e2a"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569306141,14.6407828,121.0733684,99.19999694824219,175.176.17.146
ObjectId("5d22ea5b4c62602e3b146e2c"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569307157,14.6407828,121.0733684,99.19999694824219,175.176.17.146
ObjectId("5d22ea5c4c62602e3b146e2e"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569308155,14.6407771,121.0733759,99.19999694824219,175.176.17.146
ObjectId("5d22ea5d4c62602e3b146e30"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569309167,14.6462383,121.0670918,118.9000015258789,175.176.17.146
ObjectId("5d22ea5e4c62602e3b146e32"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569310176,14.6462383,121.0670918,118.9000015258789,175.176.17.146
ObjectId("5d22ea5f4c62602e3b146e34"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569311167,14.6465423,121.0666369,,175.176.17.146
ObjectId("5d22ea604c62602e3b146e36"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569312178,14.6476071,121.0656644,115.9000015258789,175.176.17.146
ObjectId("5d22ea614c62602e3b146e38"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569313180,14.6476071,121.0656644,115.9000015258789,175.176.17.146
ObjectId("5d22ea624c62602e3b146e3a"),db2abd33-3e17-40e8-8462-cf8d42829353,1562569314198,14.6477206,121.0653853,115.9000015258789,175.176.17.146
